slug,title,description,body,type,topics,level,tradition,dateAdded,estMinutes,author,sourceUrl,sourceName
sartre-jean-paul-existentialism,"Sartre, Jean Paul: Existentialism","Explains Sartre's core existentialist claims, including ""existence precedes essence,"" radical freedom, and bad faith.",,Explainer,Existentialism,Undergraduate,Continental,2026-02-10,25,Christian J. Onof,https://iep.utm.edu/sartre-ex/,Internet Encyclopedia of Philosophy
mary-warnock-on-sartre-s-existentialism,Mary Warnock on Sartre's Existentialism,Philosopher Mary Warnock discusses Sartre's claim that human beings are radically free and responsible for creating their own values through their choices.,,Podcast,Existentialism,Intro / High School,Continental,2026-02-14,15,"Mary Warnock, interviewed by Nigel Warburton",https://philosophybites.com/podcast/mary-warnock-on-sartres-existentialism/,Philosophy Bites
an-animated-introduction-to-albert-camus-existentialism,An Animated Introduction to Albert Camus' Existentialism,A short animated lesson summarizing Camus's philosophy of the absurd and his argument that life can be meaningful even without a cosmic purpose.,,Video,Existentialism,Intro / High School,Continental,2026-02-19,8,TED-Ed (narrated by Nina Medvinskaya),https://www.openculture.com/2020/09/an-animated-introduction-to-albert-camus-existentialism.html,Open Culture
s-ren-kierkegaard-a-free-online-course,Søren Kierkegaard: A Free Online Course,"A set of free video lectures giving a detailed introduction to Kierkegaard's life, authorship, and place at the origin of existentialist philosophy.",,Lesson Plan,Existentialism,Undergraduate,Continental,2026-02-23,480,Jon B. Stewart,https://www.openculture.com/2017/04/soren-kierkegaard-a-free-online-course.html,Open Culture
camus-on-the-absurd-the-myth-of-sisyphus,Camus on the Absurd: The Myth of Sisyphus,Explains Camus's Myth of Sisyphus and his central question of whether life is worth living once its lack of inherent meaning is confronted honestly.,,Explainer,Existentialism,Intro / High School,Continental,2026-02-28,8,Erik Van Aken,https://1000wordphilosophy.com/2019/05/01/camus-on-the-absurd-the-myth-of-sisyphus/,1000-Word Philosophy
the-cambridge-companion-to-existentialism,The Cambridge Companion to Existentialism,A scholarly review of a companion volume introducing the major figures and central concepts of existentialism to students encountering the movement for the first time.,,Discussion Guide,Existentialism,Graduate / Advanced,Continental,2026-03-05,20,"Michael R. Kelly (reviewing Steven Crowell, ed.)",https://ndpr.nd.edu/reviews/the-cambridge-companion-to-existentialism/,Notre Dame Philosophical Reviews
daoism,Daoism,"An overview of Daoism as a philosophical tradition, covering the Daodejing and Zhuangzi and central concepts such as the Dao, wu-wei, and naturalness.",,Explainer,Eastern Philosophy,Undergraduate,Eastern,2026-03-09,35,Chad Hansen,https://plato.stanford.edu/entries/daoism/,Stanford Encyclopedia of Philosophy
zhuangzi,Zhuangzi,"A detailed treatment of Zhuangzi's ideas about perspective, skepticism, spontaneity, and the relativity of human judgments and values.",,Explainer,Eastern Philosophy,Undergraduate,Eastern,2026-03-14,35,Chad Hansen,https://plato.stanford.edu/entries/zhuangzi/,Stanford Encyclopedia of Philosophy
confucius,Confucius,"An introduction to Confucius's life and ethical-political thought, including his views on ritual propriety, humaneness (ren), and the cultivation of virtue.",,Explainer,Eastern Philosophy,Intro / High School,Eastern,2026-03-18,25,Jeff Richey,https://iep.utm.edu/confucius/,Internet Encyclopedia of Philosophy
nagarjuna,Nagarjuna,Explains the Buddhist philosopher Nagarjuna's Madhyamaka teachings on emptiness (sunyata) and his critique of essentialist metaphysics.,,Explainer,Eastern Philosophy,Graduate / Advanced,Eastern,2026-03-23,30,Douglas Berger,https://iep.utm.edu/nagarjun/,Internet Encyclopedia of Philosophy
the-tao-teh-king-or-the-tao-and-its-characteristics,"The Tao Teh King, or the Tao and its Characteristics","James Legge's classic English translation of the Daodejing, the foundational text of Daoism traditionally attributed to Laozi.",,Primary Text,Eastern Philosophy,Intro / High School,Eastern,2026-03-28,90,Laozi (trans. James Legge),https://www.gutenberg.org/ebooks/216,Project Gutenberg
the-analects-of-confucius,The Analects of Confucius,"A public-domain translation of the Analects, the collected sayings of Confucius and his disciples on ethics, ritual, and governance.",,Primary Text,Eastern Philosophy,Intro / High School,Eastern,2026-04-01,120,Confucius (trans. James Legge),https://www.gutenberg.org/ebooks/3330,Project Gutenberg
dhammapada-a-collection-of-verses,"Dhammapada, a Collection of Verses","F. Max Müller's translation of the Dhammapada, a core collection of verses attributed to the Buddha on ethical conduct and the path to liberation from suffering.",,Primary Text,Eastern Philosophy,Intro / High School,Eastern,2026-04-06,60,attributed to the Buddha (trans. F. Max Müller),https://www.gutenberg.org/ebooks/2017,Project Gutenberg
no-four-ways-about-it-n-g-rjuna-s-tetralemma,No Four Ways About It: Nāgārjuna's Tetralemma,A podcast episode unpacking Nagarjuna's four-cornered logic (the tetralemma) and its use in arguing that phenomena lack independent existence.,,Podcast,Eastern Philosophy,Graduate / Advanced,Eastern,2026-04-10,25,"Peter Adamson, with Jonardon Ganeri",https://historyofphilosophy.net/podcast/india/buddhists-jains/nagarjuna-tetralemma,History of Philosophy Without Any Gaps
suffering-and-smiling-the-buddha,Suffering and Smiling: the Buddha,"A podcast episode introducing the Buddha's life and core teachings, including the Four Noble Truths and the doctrine of no-self.",,Podcast,Eastern Philosophy,Intro / High School,Eastern,2026-04-15,25,"Peter Adamson, with Jonardon Ganeri",https://historyofphilosophy.net/buddha,History of Philosophy Without Any Gaps
the-complete-works-of-chuang-tzu,The Complete Works of Chuang Tzu,"Burton Watson's widely used English translation of the Zhuangzi, one of the two foundational texts of philosophical Daoism, freely readable online.",,Primary Text,Eastern Philosophy,Undergraduate,Eastern,2026-04-20,240,Zhuangzi (trans. Burton Watson),https://archive.org/details/zhuangzi-burton-watson-1/page/n1/mode/2up,Archive.org
nothingness-in-asian-philosophy,Nothingness in Asian Philosophy,"An open-access essay collection comparing how Hindu, Buddhist, Daoist, and Neo-Confucian traditions have conceptualized ""nothingness"" as a philosophical category.",,Primary Text,Eastern Philosophy,Graduate / Advanced,Eastern,2026-04-24,300,JeeLoo Liu and Douglas L. Berger (eds.),https://directory.doabooks.org/handle/20.500.12854/31092,Directory of Open Access Books (DOAB)
